date,session_key,y,x,z,meeting_key,driver_number
2024-04-07T05:26:52.962000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:53.101000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:53.401000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:53.741000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:53.921000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:54.122000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:54.642000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:55.021000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:55.162000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:55.341000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:55.802000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:56.022000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:56.242000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:56.482000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:56.700000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:56.961000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:57.101000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:57.441000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:57.861000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:58.122000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:58.241000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:58.541000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:58.721000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:59.021000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:59.222000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:59.522000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:59.721000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:59.941000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:01.001000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:01.162000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:01.341000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:01.541000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:01.702000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:01.962000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:02.322000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:02.762000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:02.922000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:03.201000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:03.281000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:03.481000+00:00,9496,-3383,3693,766,1232,1
